compound,salinity,group,replicate,headspace_mL,date,umoles,day
26-diMN,brackish,sterile_control,1,97,2014-08-19,NA,0
26-diMN,brackish,sterile_control,2,97,2014-08-19,NA,0
26-diMN,brackish,sterile_control,3,97,2014-08-19,NA,0
26-diMN,brackish,treatment,1,77,2014-08-19,26.2,0
26-diMN,brackish,treatment,2,77,2014-08-19,26.9,0
26-diMN,brackish,treatment,3,77,2014-08-19,22.8,0
26-diMN,fresh,sterile_control,1,97,2014-08-19,NA,0
26-diMN,fresh,sterile_control,2,97,2014-08-19,NA,0
26-diMN,fresh,sterile_control,3,97,2014-08-19,NA,0
26-diMN,fresh,treatment,1,77,2014-08-19,24.3,0
26-diMN,fresh,treatment,2,77,2014-08-19,23.2,0
26-diMN,fresh,treatment,3,77,2014-08-19,21.6,0
26-diMN,saline,sterile_control,1,97,2014-08-19,NA,0
26-diMN,saline,sterile_control,2,97,2014-08-19,NA,0
26-diMN,saline,sterile_control,3,97,2014-08-19,NA,0
26-diMN,saline,treatment,1,77,2014-08-19,17.5,0
26-diMN,saline,treatment,2,77,2014-08-19,18.7,0
26-diMN,saline,treatment,3,77,2014-08-19,25.7,0
DBT,brackish,sterile_control,1,97,2014-08-19,NA,0
DBT,brackish,sterile_control,2,97,2014-08-19,NA,0
DBT,brackish,sterile_control,3,97,2014-08-19,NA,0
DBT,brackish,treatment,1,77,2014-08-19,31,0
DBT,brackish,treatment,2,77,2014-08-19,24.7,0
DBT,brackish,treatment,3,77,2014-08-19,15.1,0
DBT,fresh,sterile_control,1,97,2014-08-19,NA,0
DBT,fresh,sterile_control,2,97,2014-08-19,NA,0
DBT,fresh,sterile_control,3,97,2014-08-19,NA,0
DBT,fresh,treatment,1,77,2014-08-19,60.6,0
DBT,fresh,treatment,2,77,2014-08-19,33.5,0
DBT,fresh,treatment,3,77,2014-08-19,26.9,0
DBT,saline,sterile_control,1,97,2014-08-19,NA,0
DBT,saline,sterile_control,2,97,2014-08-19,NA,0
DBT,saline,sterile_control,3,97,2014-08-19,NA,0
DBT,saline,treatment,1,77,2014-08-19,15.8,0
DBT,saline,treatment,2,77,2014-08-19,16.9,0
DBT,saline,treatment,3,77,2014-08-19,15.1,0
medium_only,brackish,medium_only_control,1,100,2014-08-19,NA,0
medium_only,brackish,medium_only_control,2,100,2014-08-19,NA,0
medium_only,brackish,medium_only_control,3,100,2014-08-19,NA,0
medium_only,fresh,medium_only_control,1,100,2014-08-19,NA,0
medium_only,fresh,medium_only_control,2,100,2014-08-19,NA,0
medium_only,fresh,medium_only_control,3,100,2014-08-19,NA,0
medium_only,saline,medium_only_control,1,100,2014-08-19,NA,0
medium_only,saline,medium_only_control,2,100,2014-08-19,NA,0
medium_only,saline,medium_only_control,3,100,2014-08-19,NA,0
none,brackish,unamended_control,1,77,2014-08-19,18.2,0
none,brackish,unamended_control,2,77,2014-08-19,NA,0
none,brackish,unamended_control,3,77,2014-08-19,17.5,0
none,fresh,unamended_control,1,77,2014-08-19,NA,0
none,fresh,unamended_control,2,77,2014-08-19,17.7,0
none,fresh,unamended_control,3,77,2014-08-19,17.1,0
none,saline,unamended_control,1,77,2014-08-19,12.9,0
none,saline,unamended_control,2,77,2014-08-19,14.5,0
none,saline,unamended_control,3,77,2014-08-19,12,0
PHEN,brackish,sterile_control,1,97,2014-08-19,NA,0
PHEN,brackish,sterile_control,2,97,2014-08-19,NA,0
PHEN,brackish,sterile_control,3,97,2014-08-19,NA,0
PHEN,brackish,treatment,1,77,2014-08-19,19.2,0
PHEN,brackish,treatment,2,77,2014-08-19,20.7,0
PHEN,brackish,treatment,3,77,2014-08-19,22.1,0
PHEN,fresh,sterile_control,1,97,2014-08-19,NA,0
PHEN,fresh,sterile_control,2,97,2014-08-19,NA,0
PHEN,fresh,sterile_control,3,97,2014-08-19,NA,0
PHEN,fresh,treatment,1,77,2014-08-19,30.8,0
PHEN,fresh,treatment,2,77,2014-08-19,30.6,0
PHEN,fresh,treatment,3,77,2014-08-19,17,0
PHEN,saline,sterile_control,1,97,2014-08-19,NA,0
PHEN,saline,sterile_control,2,97,2014-08-19,NA,0
PHEN,saline,sterile_control,3,97,2014-08-19,NA,0
PHEN,saline,treatment,1,77,2014-08-19,22.8,0
PHEN,saline,treatment,2,77,2014-08-19,15.7,0
PHEN,saline,treatment,3,77,2014-08-19,16.3,0
26-diMN,brackish,sterile_control,1,97,2014-09-03,NA,15
26-diMN,brackish,sterile_control,2,97,2014-09-03,NA,15
26-diMN,brackish,sterile_control,3,97,2014-09-03,NA,15
26-diMN,brackish,treatment,1,77,2014-09-03,16.3,15
26-diMN,brackish,treatment,2,77,2014-09-03,17.6,15
26-diMN,brackish,treatment,3,77,2014-09-03,19,15
26-diMN,fresh,sterile_control,1,97,2014-09-03,NA,15
26-diMN,fresh,sterile_control,2,97,2014-09-03,NA,15
26-diMN,fresh,sterile_control,3,97,2014-09-03,NA,15
26-diMN,fresh,treatment,1,77,2014-09-03,13.4,15
26-diMN,fresh,treatment,2,77,2014-09-03,13.5,15
26-diMN,fresh,treatment,3,77,2014-09-03,13,15
26-diMN,saline,sterile_control,1,97,2014-09-03,NA,15
26-diMN,saline,sterile_control,2,97,2014-09-03,NA,15
26-diMN,saline,sterile_control,3,97,2014-09-03,NA,15
26-diMN,saline,treatment,1,77,2014-09-03,8.5,15
26-diMN,saline,treatment,2,77,2014-09-03,8.2,15
26-diMN,saline,treatment,3,77,2014-09-03,20.9,15
DBT,brackish,sterile_control,1,97,2014-09-03,NA,15
DBT,brackish,sterile_control,2,97,2014-09-03,NA,15
DBT,brackish,sterile_control,3,97,2014-09-03,NA,15
DBT,brackish,treatment,1,77,2014-09-03,25.1,15
DBT,brackish,treatment,2,77,2014-09-03,18.2,15
DBT,brackish,treatment,3,77,2014-09-03,14.8,15
DBT,fresh,sterile_control,1,97,2014-09-03,NA,15
DBT,fresh,sterile_control,2,97,2014-09-03,NA,15
DBT,fresh,sterile_control,3,97,2014-09-03,NA,15
DBT,fresh,treatment,1,77,2014-09-03,51.1,15
DBT,fresh,treatment,2,77,2014-09-03,24.4,15
