compound,salinity,group,replicate,headspace_mL,replicate,2014-08-19,2014-09-03,2014-10-25,2014-11-04,2014-11-18,2014-12-04,2014-12-18,2015-01-08,2015-01-22,2015-02-05,2015-03-19,2015-04-23,2015-05-22,2015-07-02,2015-08-17,2015-09-15,2015-10-23,2015-12-03,2016-01-05,2016-03-01,2016-04-22,2016-07-11,2016-09-19,2016-09-27,2017-01-31,2017-06-12,2017-08-22,2018-05-03
26-diMN,brackish,sterile_control,1,97,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26-diMN,brackish,sterile_control,2,97,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26-diMN,brackish,sterile_control,3,97,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26-diMN,brackish,treatment,1,77,1,26.2,16.3,21.8,34.5,30.4,30.1,31.5,42.2,46.5,53.8,89.1,92.3,104.3,115.2,44,146.9,155.4,166,182,197.8,218.9,232,265.7,226.2,242.3,290.2,296.9,316
26-diMN,brackish,treatment,2,77,2,26.9,17.6,13.4,13.7,14.7,12.1,13.2,24.3,31.8,54.8,97,103.2,108.4,124,132.9,141.5,159.2,165.4,179.8,166.4,207.1,226.2,242.3,242.4,225.4,168.6,283.7,289.3
26-diMN,brackish,treatment,3,77,3,22.8,19,11.8,12.8,13.3,10.2,10,8.6,8.7,8.8,11,3.5,19.6,25.8,131.9,25.8,26.4,29.8,33,33.6,37.8,40.9,45.5,30.2,50,57.2,55.8,NA
26-diMN,fresh,sterile_control,1,97,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26-diMN,fresh,sterile_control,2,97,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26-diMN,fresh,sterile_control,3,97,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26-diMN,fresh,treatment,1,77,1,24.3,13.4,16.7,21.1,17.5,18,20.1,23.1,20.5,25.8,32.4,38.7,43.4,51.4,50.1,54.3,59.8,20,68.1,69,75.4,78.2,85.7,90.9,83.7,91.1,NA,91.9
