compound,salinity,group,headspace_mL,date,day,umoles.mean,umoles.sd
26-diMN,brackish,treatment,77,2014-08-19,0,25.3,2.19317121994613
DBT,brackish,treatment,77,2014-08-19,0,23.6,8.00687204843439
PHEN,brackish,treatment,77,2014-08-19,0,20.6666666666667,1.45028732785381
26-diMN,fresh,treatment,77,2014-08-19,0,23.0333333333333,1.35769412362775
DBT,fresh,treatment,77,2014-08-19,0,40.3333333333333,17.8589846669214
PHEN,fresh,treatment,77,2014-08-19,0,26.1333333333333,7.91033079797131
26-diMN,saline,treatment,77,2014-08-19,0,20.6333333333333,4.4286943147313
DBT,saline,treatment,77,2014-08-19,0,15.9333333333333,0.907377172587746
PHEN,saline,treatment,77,2014-08-19,0,18.2666666666667,3.93742724800514
none,brackish,unamended_control,77,2014-08-19,0,NA,NA
none,fresh,unamended_control,77,2014-08-19,0,NA,NA
none,saline,unamended_control,77,2014-08-19,0,13.1333333333333,1.26622799421484
26-diMN,brackish,sterile_control,97,2014-08-19,0,NA,NA
DBT,brackish,sterile_control,97,2014-08-19,0,NA,NA
PHEN,brackish,sterile_control,97,2014-08-19,0,NA,NA
26-diMN,fresh,sterile_control,97,2014-08-19,0,NA,NA
DBT,fresh,sterile_control,97,2014-08-19,0,NA,NA
PHEN,fresh,sterile_control,97,2014-08-19,0,NA,NA
26-diMN,saline,sterile_control,97,2014-08-19,0,NA,NA
DBT,saline,sterile_control,97,2014-08-19,0,NA,NA
PHEN,saline,sterile_control,97,2014-08-19,0,NA,NA
medium_only,brackish,medium_only_control,100,2014-08-19,0,NA,NA
medium_only,fresh,medium_only_control,100,2014-08-19,0,NA,NA
medium_only,saline,medium_only_control,100,2014-08-19,0,NA,NA
26-diMN,brackish,treatment,77,2014-09-03,15,17.6333333333333,1.35030860670194
DBT,brackish,treatment,77,2014-09-03,15,19.3666666666667,5.24817428572388
PHEN,brackish,treatment,77,2014-09-03,15,13.5666666666667,1.50111069989303
26-diMN,fresh,treatment,77,2014-09-03,15,13.3,0.264575131106459
DBT,fresh,treatment,77,2014-09-03,15,31.4333333333333,17.2604557684128
PHEN,fresh,treatment,77,2014-09-03,15,16.0333333333333,8.22090830342568
26-diMN,saline,treatment,77,2014-09-03,15,12.5333333333333,7.24729834720038
DBT,saline,treatment,77,2014-09-03,15,5.73333333333333,1.1060440015358
PHEN,saline,treatment,77,2014-09-03,15,8.6,4.93659801887899
none,brackish,unamended_control,77,2014-09-03,15,NA,NA
none,fresh,unamended_control,77,2014-09-03,15,7.2,0.519615242270663
none,saline,unamended_control,77,2014-09-03,15,2.93333333333333,1.62583311976763
26-diMN,brackish,sterile_control,97,2014-09-03,15,NA,NA
DBT,brackish,sterile_control,97,2014-09-03,15,NA,NA
PHEN,brackish,sterile_control,97,2014-09-03,15,NA,NA
26-diMN,fresh,sterile_control,97,2014-09-03,15,NA,NA
DBT,fresh,sterile_control,97,2014-09-03,15,NA,NA
PHEN,fresh,sterile_control,97,2014-09-03,15,NA,NA
26-diMN,saline,sterile_control,97,2014-09-03,15,NA,NA
DBT,saline,sterile_control,97,2014-09-03,15,NA,NA
PHEN,saline,sterile_control,97,2014-09-03,15,NA,NA
medium_only,brackish,medium_only_control,100,2014-09-03,15,NA,NA
medium_only,fresh,medium_only_control,100,2014-09-03,15,NA,NA
medium_only,saline,medium_only_control,100,2014-09-03,15,NA,NA
26-diMN,brackish,treatment,77,2014-10-25,67,15.6666666666667,5.37152988759565
DBT,brackish,treatment,77,2014-10-25,67,23.9,11.8456743159687
PHEN,brackish,treatment,77,2014-10-25,67,8.96666666666667,2.28546129552293
26-diMN,fresh,treatment,77,2014-10-25,67,12.5666666666667,5.00632932729493
DBT,fresh,treatment,77,2014-10-25,67,19.4333333333333,2.2300971578237
PHEN,fresh,treatment,77,2014-10-25,67,16.0666666666667,13.1188160034865
26-diMN,saline,treatment,77,2014-10-25,67,6.9,4.57383865041171
DBT,saline,treatment,77,2014-10-25,67,0.5,0.854400374531753
PHEN,saline,treatment,77,2014-10-25,67,3.4,3.99499687108764
none,brackish,unamended_control,77,2014-10-25,67,5.56666666666667,0.960902353693305
none,fresh,unamended_control,77,2014-10-25,67,10.5333333333333,10.697819092382
none,saline,unamended_control,77,2014-10-25,67,-1.23333333333333,1.26622799421484
26-diMN,brackish,sterile_control,97,2014-10-25,67,NA,NA
DBT,brackish,sterile_control,97,2014-10-25,67,NA,NA
PHEN,brackish,sterile_control,97,2014-10-25,67,NA,NA
26-diMN,fresh,sterile_control,97,2014-10-25,67,NA,NA
DBT,fresh,sterile_control,97,2014-10-25,67,NA,NA
PHEN,fresh,sterile_control,97,2014-10-25,67,NA,NA
26-diMN,saline,sterile_control,97,2014-10-25,67,NA,NA
DBT,saline,sterile_control,97,2014-10-25,67,NA,NA
PHEN,saline,sterile_control,97,2014-10-25,67,NA,NA
medium_only,brackish,medium_only_control,100,2014-10-25,67,NA,NA
medium_only,fresh,medium_only_control,100,2014-10-25,67,NA,NA
medium_only,saline,medium_only_control,100,2014-10-25,67,NA,NA
26-diMN,brackish,treatment,77,2014-11-04,77,20.3333333333333,12.2769431591636
DBT,brackish,treatment,77,2014-11-04,77,31.0333333333333,19.0930179210447
PHEN,brackish,treatment,77,2014-11-04,77,9.96666666666667,3.9272551907577
26-diMN,fresh,treatment,77,2014-11-04,77,14.6,9.1
DBT,fresh,treatment,77,2014-11-04,77,32.5333333333333,24.1176975130988
PHEN,fresh,treatment,77,2014-11-04,77,21.4333333333333,25.2060177999884
26-diMN,saline,treatment,77,2014-11-04,77,5.6,6.65507325278993
DBT,saline,treatment,77,2014-11-04,77,-5.9,1.3
PHEN,saline,treatment,77,2014-11-04,77,0.366666666666667,7.25281554524402
none,brackish,unamended_control,77,2014-11-04,77,2.56666666666667,1.70391705588427
none,fresh,unamended_control,77,2014-11-04,77,12.9333333333333,20.6032359917886
none,saline,unamended_control,77,2014-11-04,77,-8.13333333333333,2.04287379280594
26-diMN,brackish,sterile_control,97,2014-11-04,77,NA,NA
